decil_local,poblacion_ponderada,ingreso_total_ponderado,ipcf_promedio_decil,pct_ingreso_total,periodo
1,38596,3838397181.14,99450.64724686496,0.029014987191799,T4 2024
2,36965,5780863683.79,156387.49313648045,0.0436983662261046,T4 2024
3,42211,8340063946.82,197580.34509535428,0.0630437229854097,T4 2024
4,37085,8219575298.26,221641.50730106517,0.0621329322491349,T4 2024
5,40909,10256867031.72,250723.97349531887,0.0775331086151314,T4 2024
6,38557,11453025340.82,297041.40210130456,0.0865750384572102,T4 2024
7,38919,13531269378.6,347677.7249826563,0.1022847790838199,T4 2024
8,40276,16054009164.13,398599.889863194,0.1213545259367643,T4 2024
9,39369,20121987610.45,511112.4897876502,0.1521049503838336,T4 2024
10,39754,34694097336.66,872719.6593213263,0.262257588870792,T4 2024
1,39463,4304828436.25,109085.17944023517,0.0246004049057018,T4 2025
2,37320,6884148010.04,184462.7012336549,0.0393402039095641,T4 2025
3,39994,9739010308.29,243511.7844749212,0.0556546214356088,T4 2025
4,41071,11980415538.26,291700.1178023423,0.068463372592961,T4 2025
5,36615,12795741936.08,349467.2111451591,0.0731226429480303,T4 2025
6,39880,15845030972.18,397317.7274869609,0.0905481329700956,T4 2025
7,41138,19732155026.74,479657.61647965387,0.1127615212797513,T4 2025
8,40409,22840968535.34,565244.5874765522,0.1305271702993198,T4 2025
9,39174,27638724631.77,705537.4644348292,0.1579444633131599,T4 2025
10,40324,43229122204.33,1072044.4947011706,0.247037466345807,T4 2025
