decil_local,poblacion_ponderada,ingreso_total_ponderado,ipcf_promedio_decil,pct_ingreso_total,periodo
1,39463,4304828436.25,109085.17944023515,0.0246004049057018,T4 2025
2,37320,6884148010.04,184462.70123365487,0.03934020390956418,T4 2025
3,39994,9739010308.289999,243511.7844749212,0.05565462143560883,T4 2025
4,41071,11980415538.26,291700.1178023423,0.068463372592961,T4 2025
5,36615,12795741936.08,349467.2111451591,0.07312264294803038,T4 2025
6,39880,15845030972.18,397317.7274869609,0.09054813297009563,T4 2025
7,41138,19732155026.74,479657.61647965387,0.11276152127975136,T4 2025
8,40409,22840968535.34,565244.5874765522,0.13052717029931987,T4 2025
9,39174,27638724631.77,705537.4644348292,0.15794446331315998,T4 2025
10,40324,43229122204.33,1072044.4947011706,0.247037466345807,T4 2025
